#Dataset	Domain	Init_seqs_with_domain	Num_domains_in_init	Rev_seqs_with_domain	Num_base_domains_in_rev	Num_rev_domains_in_rev
Dmelanogaster_genome_proteins	IRF	0	0	0	0	0
Dpulex_genome_proteins	IRF	0	0	0	0	0
Drerio_genome_proteins	IRF	23	23	23	16	7
Eburgeri_genome_proteins	IRF	8	8	8	5	3
Hdujardini_genome_proteins	IRF	0	0	0	0	0
Hmiamia_genome_cds	IRF	1	1	1	0	1
Hrobusta_genome_proteins	IRF	5	5	5	2	3
Hsapiens_genome_proteins	IRF	50	50	50	40	10
Hvulgaris_genome_proteins	IRF	6	6	6	1	5
Lanatina_genome_proteins	IRF	4	4	4	0	4
Lchalumnae_genome_proteins	IRF	15	15	15	9	6
Lpolyphemus_genome_proteins	IRF	15	15	15	0	15
Lvariegatus_genome_proteins	IRF	3	3	3	0	3
Mleidyi_genome_proteins	IRF	2	2	2	0	2
Ngeniculatus_genome_proteins	IRF	12	12	12	0	12
Nvectensis_genome_proteins	IRF	5	5	5	1	4
Odioica_genome_proteins	IRF	2	2	2	1	1
Ovulgaris_genome_proteins	IRF	8	8	8	0	8
Paustralis_genome_proteins	IRF	4	4	4	0	4
Pflava_genome_proteins	IRF	3	3	3	1	2
Pmarinus_genome_proteins	IRF	8	8	8	4	4
Pminiata_proteins	IRF	4	5	4	0	5
Scalifornicum_genome_proteins	IRF	3	3	3	2	1
Skowalevskii_genome_proteins	IRF	2	2	2	1	1
Smediterranea_genome_cds	IRF	1	1	1	0	1
Spurpuratus_genome_proteins5	IRF	10	10	10	0	10
Tadhaerens_genome_proteins	IRF	2	2	2	1	1
Acalifornica_genome_proteins	CARD	26	29	31	0	34
Ajaponicus_genome_proteins	CARD	16	19	18	0	22
Aplanci_proteome	CARD	23	25	25	1	26
Aqueenslandica_genome_protiens	CARD	32	33	121	0	125
Bblecheri_genome_protein	CARD	135	172	140	5	185
Bfloridae_genome_proteins	CARD	108	130	117	5	143
Bschlosseri_genome_proteins	CARD	7	7	8	0	8
Celegans_genome_proteins	CARD	3	3	3	3	0
Cintestinalis_genome_proteins	CARD	7	7	8	0	8
Cmilii_genome_proteins	CARD	45	49	45	32	17
Cteleta_genome_proteins	CARD	179	191	192	3	205
Cvirginica_genome_proteins	CARD	195	249	231	18	301
Dmelanogaster_genome_proteins	CARD	0	0	1	0	1
Dpulex_genome_proteins	CARD	1	1	1	0	1
Drerio_genome_proteins	CARD	131	134	131	48	86
Eburgeri_genome_proteins	CARD	36	38	39	6	39
Hdujardini_genome_proteins	CARD	2	2	3	0	3
Hmiamia_genome_cds	CARD	8	8	13	0	13
Hrobusta_genome_proteins	CARD	10	10	16	0	17
Hsapiens_genome_proteins	CARD	162	169	167	139	35
Hvulgaris_genome_proteins	CARD	11	11	11	0	11
Lanatina_genome_proteins	CARD	165	172	187	2	200
Lchalumnae_genome_proteins	CARD	44	45	46	23	24
Lpolyphemus_genome_proteins	CARD	15	15	15	0	15
Lvariegatus_genome_proteins	CARD	14	14	17	1	16
Mleidyi_genome_proteins	CARD	0	0	0	0	0
Ngeniculatus_genome_proteins	CARD	23	27	32	0	38
Nvectensis_genome_proteins	CARD	11	12	11	1	11
Odioica_genome_proteins	CARD	0	0	0	0	0
Ovulgaris_genome_proteins	CARD	34	37	34	0	37
Paustralis_genome_proteins	CARD	53	55	55	0	57
Pflava_genome_proteins	CARD	26	28	31	2	33
Pmarinus_genome_proteins	CARD	38	40	46	8	41
Pminiata_proteins	CARD	12	13	13	0	15
Scalifornicum_genome_proteins	CARD	21	22	28	1	29
Skowalevskii_genome_proteins	CARD	13	14	14	0	15
Smediterranea_genome_cds	CARD	8	8	10	1	9
Spurpuratus_genome_proteins5	CARD	28	29	32	10	23
Tadhaerens_genome_proteins	CARD	42	44	67	1	69
Acalifornica_genome_proteins	TIR	28	28	62	0	62
Ajaponicus_genome_proteins	TIR	8	8	13	0	13
Aplanci_proteome	TIR	17	17	53	0	54
Aqueenslandica_genome_protiens	TIR	0	0	1	0	1
Bblecheri_genome_protein	TIR	61	62	102	0	103
Bfloridae_genome_proteins	TIR	43	44	70	0	72
Bschlosseri_genome_proteins	TIR	10	10	21	0	21
Celegans_genome_proteins	TIR	0	0	1	0	1
Cintestinalis_genome_proteins	TIR	15	15	20	0	20
Cmilii_genome_proteins	TIR	19	20	24	2	22
Cteleta_genome_proteins	TIR	43	43	76	2	74
Cvirginica_genome_proteins	TIR	131	133	242	0	254
Dmelanogaster_genome_proteins	TIR	13	13	19	0	19
Dpulex_genome_proteins	TIR	4	4	8	0	8
Drerio_genome_proteins	TIR	47	47	52	0	52
Eburgeri_genome_proteins	TIR	16	16	24	0	24
Hdujardini_genome_proteins	TIR	0	0	1	0	1
Hmiamia_genome_cds	TIR	0	0	1	0	1
Hrobusta_genome_proteins	TIR	4	4	12	0	12
Hsapiens_genome_proteins	TIR	133	133	137	53	84
Hvulgaris_genome_proteins	TIR	0	0	5	0	5
Lanatina_genome_proteins	TIR	40	40	84	0	87
Lchalumnae_genome_proteins	TIR	27	27	33	10	23
Lpolyphemus_genome_proteins	TIR	17	17	20	0	20
Lvariegatus_genome_proteins	TIR	2	2	9	0	9
Mleidyi_genome_proteins	TIR	0	0	0	0	0
Ngeniculatus_genome_proteins	TIR	10	10	35	0	36
Nvectensis_genome_proteins	TIR	2	2	7	0	7
Odioica_genome_proteins	TIR	1	1	1	0	1
Ovulgaris_genome_proteins	TIR	20	23	26	0	30
Paustralis_genome_proteins	TIR	21	21	48	0	48
Pflava_genome_proteins	TIR	69	70	105	0	113
Pmarinus_genome_proteins	TIR	18	18	26	0	27
Pminiata_proteins	TIR	5	5	16	0	17
Scalifornicum_genome_proteins	TIR	135	137	188	1	193
Skowalevskii_genome_proteins	TIR	17	19	24	0	25
Smediterranea_genome_cds	TIR	0	0	6	0	6
Spurpuratus_genome_proteins5	TIR	185	188	208	0	217
Tadhaerens_genome_proteins	TIR	0	0	2	0	2
Acalifornica_genome_proteins	NACHT	11	11	23	0	23
Ajaponicus_genome_proteins	NACHT	249	249	294	1	293
Aplanci_proteome	NACHT	174	174	185	0	185
Aqueenslandica_genome_protiens	NACHT	55	55	55	3	52
Bblecheri_genome_protein	NACHT	88	91	107	0	110
Bfloridae_genome_proteins	NACHT	70	89	82	0	102
Bschlosseri_genome_proteins	NACHT	207	207	226	0	227
Celegans_genome_proteins	NACHT	1	1	3	1	2
Cintestinalis_genome_proteins	NACHT	37	37	44	2	42
Cmilii_genome_proteins	NACHT	81	81	83	12	71
Cteleta_genome_proteins	NACHT	128	129	140	1	140
Cvirginica_genome_proteins	NACHT	50	50	67	0	67
Dmelanogaster_genome_proteins	NACHT	3	3	17	0	17
Dpulex_genome_proteins	NACHT	24	24	24	0	24
Drerio_genome_proteins	NACHT	406	406	416	115	301
Eburgeri_genome_proteins	NACHT	31	31	31	6	25
Hdujardini_genome_proteins	NACHT	0	0	0	0	0
Hmiamia_genome_cds	NACHT	20	20	22	0	22
Hrobusta_genome_proteins	NACHT	5	5	9	0	9
Hsapiens_genome_proteins	NACHT	175	175	187	163	24
Hvulgaris_genome_proteins	NACHT	65	65	83	0	85
Lanatina_genome_proteins	NACHT	31	38	40	0	42
Lchalumnae_genome_proteins	NACHT	59	59	64	27	37
Lpolyphemus_genome_proteins	NACHT	17	17	34	0	34
Lvariegatus_genome_proteins	NACHT	62	62	79	1	78
Mleidyi_genome_proteins	NACHT	5	5	7	3	4
Ngeniculatus_genome_proteins	NACHT	34	36	43	0	45
Nvectensis_genome_proteins	NACHT	23	25	28	1	29
Odioica_genome_proteins	NACHT	2	2	2	1	1
Ovulgaris_genome_proteins	NACHT	9	9	9	0	9
Paustralis_genome_proteins	NACHT	22	22	30	0	31
Pflava_genome_proteins	NACHT	63	65	84	2	86
Pmarinus_genome_proteins	NACHT	6	6	8	2	6
Pminiata_proteins	NACHT	112	112	125	0	125
Scalifornicum_genome_proteins	NACHT	128	130	138	1	140
Skowalevskii_genome_proteins	NACHT	25	25	35	0	36
Smediterranea_genome_cds	NACHT	3	3	16	0	16
Spurpuratus_genome_proteins5	NACHT	295	296	323	0	324
Tadhaerens_genome_proteins	NACHT	10	10	17	0	17
Acalifornica_genome_proteins	IRF-3	5	5	5	0	5
Ajaponicus_genome_proteins	IRF-3	3	3	3	0	3
Aplanci_proteome	IRF-3	8	8	8	0	8
Aqueenslandica_genome_protiens	IRF-3	3	3	3	0	3
Bblecheri_genome_protein	IRF-3	11	11	11	0	11
Bfloridae_genome_proteins	IRF-3	4	4	4	0	4
Bschlosseri_genome_proteins	IRF-3	12	12	12	0	12
Celegans_genome_proteins	IRF-3	0	0	0	0	0
Cintestinalis_genome_proteins	IRF-3	13	13	13	6	7
Cmilii_genome_proteins	IRF-3	12	12	12	12	0
Cteleta_genome_proteins	IRF-3	0	0	0	0	0
Cvirginica_genome_proteins	IRF-3	1	1	1	0	1
Dmelanogaster_genome_proteins	IRF-3	0	0	0	0	0
Dpulex_genome_proteins	IRF-3	0	0	0	0	0
Drerio_genome_proteins	IRF-3	16	17	16	12	4
Eburgeri_genome_proteins	IRF-3	8	8	8	3	5
Hdujardini_genome_proteins	IRF-3	0	0	0	0	0
Hmiamia_genome_cds	IRF-3	0	0	0	0	0
Hrobusta_genome_proteins	IRF-3	0	0	0	0	0
Hsapiens_genome_proteins	IRF-3	53	53	53	53	0
Hvulgaris_genome_proteins	IRF-3	3	3	3	0	3
Lanatina_genome_proteins	IRF-3	3	3	3	0	3
Lchalumnae_genome_proteins	IRF-3	10	10	10	10	0
Lpolyphemus_genome_proteins	IRF-3	0	0	0	0	0
Lvariegatus_genome_proteins	IRF-3	6	6	6	0	6
Mleidyi_genome_proteins	IRF-3	1	1	3	0	3
Ngeniculatus_genome_proteins	IRF-3	14	15	15	0	16
Nvectensis_genome_proteins	IRF-3	1	3	1	0	3
Odioica_genome_proteins	IRF-3	1	1	1	0	1
Ovulgaris_genome_proteins	IRF-3	2	2	2	0	2
Paustralis_genome_proteins	IRF-3	1	1	1	0	1
Pflava_genome_proteins	IRF-3	2	2	2	0	2
Pmarinus_genome_proteins	IRF-3	6	6	6	4	2
Pminiata_proteins	IRF-3	3	3	4	0	4
Scalifornicum_genome_proteins	IRF-3	2	2	2	0	2
Skowalevskii_genome_proteins	IRF-3	2	2	2	0	2
Smediterranea_genome_cds	IRF-3	1	1	1	0	1
Spurpuratus_genome_proteins5	IRF-3	6	6	6	0	6
Tadhaerens_genome_proteins	IRF-3	0	0	0	0	0
Acalifornica_genome_proteins	RIG-I_C-RD	5	5	5	0	5
Ajaponicus_genome_proteins	RIG-I_C-RD	2	2	2	0	2
Aplanci_proteome	RIG-I_C-RD	16	16	16	0	16
Aqueenslandica_genome_protiens	RIG-I_C-RD	3	3	3	1	2
Bblecheri_genome_protein	RIG-I_C-RD	6	6	6	0	6
Bfloridae_genome_proteins	RIG-I_C-RD	5	5	5	1	4
Bschlosseri_genome_proteins	RIG-I_C-RD	8	9	8	0	9
Celegans_genome_proteins	RIG-I_C-RD	3	3	3	1	2
Cintestinalis_genome_proteins	RIG-I_C-RD	5	5	5	0	5
Cmilii_genome_proteins	RIG-I_C-RD	3	3	3	3	0
Cteleta_genome_proteins	RIG-I_C-RD	3	3	3	0	3
Cvirginica_genome_proteins	RIG-I_C-RD	10	10	10	4	6
Dmelanogaster_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Dpulex_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Drerio_genome_proteins	RIG-I_C-RD	5	5	5	5	0
Eburgeri_genome_proteins	RIG-I_C-RD	4	4	4	3	1
Hdujardini_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Hmiamia_genome_cds	RIG-I_C-RD	0	0	2	0	2
Hrobusta_genome_proteins	RIG-I_C-RD	2	2	2	0	2
Hsapiens_genome_proteins	RIG-I_C-RD	4	4	4	4	0
Hvulgaris_genome_proteins	RIG-I_C-RD	1	1	2	0	2
Lanatina_genome_proteins	RIG-I_C-RD	8	9	8	1	8
Lchalumnae_genome_proteins	RIG-I_C-RD	4	4	4	4	0
Lpolyphemus_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Lvariegatus_genome_proteins	RIG-I_C-RD	3	3	3	0	3
Mleidyi_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Ngeniculatus_genome_proteins	RIG-I_C-RD	7	7	7	1	6
Nvectensis_genome_proteins	RIG-I_C-RD	3	3	3	2	1
Odioica_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Ovulgaris_genome_proteins	RIG-I_C-RD	1	1	1	0	1
Paustralis_genome_proteins	RIG-I_C-RD	2	2	2	0	2
Pflava_genome_proteins	RIG-I_C-RD	8	8	8	1	7
Pmarinus_genome_proteins	RIG-I_C-RD	1	1	1	0	1
Pminiata_proteins	RIG-I_C-RD	6	6	8	0	9
Scalifornicum_genome_proteins	RIG-I_C-RD	9	9	9	1	8
Skowalevskii_genome_proteins	RIG-I_C-RD	4	4	4	1	3
Smediterranea_genome_cds	RIG-I_C-RD	29	33	29	3	30
Spurpuratus_genome_proteins5	RIG-I_C-RD	19	19	19	8	11
Tadhaerens_genome_proteins	RIG-I_C-RD	0	0	0	0	0
Acalifornica_genome_proteins	RHIM	0	0	0	0	0
Ajaponicus_genome_proteins	RHIM	0	0	0	0	0
Aplanci_proteome	RHIM	0	0	0	0	0
Aqueenslandica_genome_protiens	RHIM	0	0	0	0	0
Bblecheri_genome_protein	RHIM	5	6	8	0	9
Bfloridae_genome_proteins	RHIM	1	1	3	1	3
Bschlosseri_genome_proteins	RHIM	0	0	0	0	0
Celegans_genome_proteins	RHIM	0	0	0	0	0
Cintestinalis_genome_proteins	RHIM	0	0	0	0	0
Cmilii_genome_proteins	RHIM	6	6	9	0	9
Cteleta_genome_proteins	RHIM	1	1	1	0	1
Cvirginica_genome_proteins	RHIM	2	2	4	0	4
Dmelanogaster_genome_proteins	RHIM	0	0	0	0	0
Dpulex_genome_proteins	RHIM	0	0	0	0	0
Drerio_genome_proteins	RHIM	2	2	2	1	1
Eburgeri_genome_proteins	RHIM	0	0	1	0	1
Hdujardini_genome_proteins	RHIM	0	0	0	0	0
Hmiamia_genome_cds	RHIM	0	0	0	0	0
Hrobusta_genome_proteins	RHIM	0	0	0	0	0
Hsapiens_genome_proteins	RHIM	11	11	11	1	10
Hvulgaris_genome_proteins	RHIM	0	0	0	0	0
Lanatina_genome_proteins	RHIM	7	7	12	0	12
Lchalumnae_genome_proteins	RHIM	4	4	6	0	6
Lpolyphemus_genome_proteins	RHIM	1	1	1	0	1
Lvariegatus_genome_proteins	RHIM	0	0	0	0	0
Mleidyi_genome_proteins	RHIM	0	0	0	0	0
Ngeniculatus_genome_proteins	RHIM	0	0	0	0	0
Nvectensis_genome_proteins	RHIM	0	0	0	0	0
Odioica_genome_proteins	RHIM	0	0	0	0	0
Ovulgaris_genome_proteins	RHIM	0	0	0	0	0
Paustralis_genome_proteins	RHIM	0	0	1	0	1
Pflava_genome_proteins	RHIM	0	0	3	0	3
Pmarinus_genome_proteins	RHIM	0	0	0	0	0
Pminiata_proteins	RHIM	0	0	0	0	0
Scalifornicum_genome_proteins	RHIM	1	1	3	0	3
Skowalevskii_genome_proteins	RHIM	1	1	1	0	1
Smediterranea_genome_cds	RHIM	0	0	0	0	0
Spurpuratus_genome_proteins5	RHIM	0	0	0	0	0
Tadhaerens_genome_proteins	RHIM	0	0	0	0	0
Acalifornica_genome_proteins	TIR_2	57	67	70	5	77
Ajaponicus_genome_proteins	TIR_2	22	29	23	3	27
Aplanci_proteome	TIR_2	71	86	78	8	88
Aqueenslandica_genome_protiens	TIR_2	5	5	9	2	7
Bblecheri_genome_protein	TIR_2	90	96	107	5	108
Bfloridae_genome_proteins	TIR_2	67	78	87	3	95
Bschlosseri_genome_proteins	TIR_2	15	17	25	1	26
Celegans_genome_proteins	TIR_2	9	9	9	0	9
Cintestinalis_genome_proteins	TIR_2	12	17	14	0	23
Cmilii_genome_proteins	TIR_2	8	8	9	3	6
Cteleta_genome_proteins	TIR_2	50	60	69	6	73
Cvirginica_genome_proteins	TIR_2	178	213	247	11	274
Dmelanogaster_genome_proteins	TIR_2	14	14	17	1	16
Dpulex_genome_proteins	TIR_2	6	6	7	0	7
Drerio_genome_proteins	TIR_2	7	7	8	3	5
Eburgeri_genome_proteins	TIR_2	8	8	9	1	8
Hdujardini_genome_proteins	TIR_2	3	3	3	0	4
Hmiamia_genome_cds	TIR_2	37	42	37	2	40
Hrobusta_genome_proteins	TIR_2	10	11	16	0	17
Hsapiens_genome_proteins	TIR_2	8	8	14	4	10
Hvulgaris_genome_proteins	TIR_2	19	21	19	0	23
Lanatina_genome_proteins	TIR_2	78	91	86	11	90
Lchalumnae_genome_proteins	TIR_2	10	10	11	1	10
Lpolyphemus_genome_proteins	TIR_2	9	9	14	0	17
Lvariegatus_genome_proteins	TIR_2	51	65	55	3	67
Mleidyi_genome_proteins	TIR_2	16	19	19	1	21
Ngeniculatus_genome_proteins	TIR_2	53	69	58	3	79
Nvectensis_genome_proteins	TIR_2	15	21	17	3	23
Odioica_genome_proteins	TIR_2	1	1	2	0	2
Ovulgaris_genome_proteins	TIR_2	21	22	26	4	26
Paustralis_genome_proteins	TIR_2	54	59	62	5	65
Pflava_genome_proteins	TIR_2	90	106	116	7	128
Pmarinus_genome_proteins	TIR_2	12	12	12	3	9
Pminiata_proteins	TIR_2	37	54	38	6	51
Scalifornicum_genome_proteins	TIR_2	104	116	135	2	147
Skowalevskii_genome_proteins	TIR_2	33	41	38	3	43
Smediterranea_genome_cds	TIR_2	31	34	39	2	43
Spurpuratus_genome_proteins5	TIR_2	97	123	118	11	135
Tadhaerens_genome_proteins	TIR_2	14	20	16	2	20
